season,League_name,team_long_name_x,W,D,L,GF,GA,Pts,GD
2009/2010,Spain LIGA BBVA,Real Sporting de Gijón,9,13,16,36,51,40,-15
2009/2010,Spain LIGA BBVA,Real Valladolid,7,15,16,37,62,36,-25
2009/2010,Spain LIGA BBVA,Real Zaragoza,10,11,17,46,64,41,-18
2009/2010,Spain LIGA BBVA,Sevilla FC,19,6,13,65,49,63,16
2009/2010,Spain LIGA BBVA,UD Almería,10,12,16,43,55,42,-12
2009/2010,Spain LIGA BBVA,Valencia CF,21,8,9,59,40,71,19
2009/2010,Spain LIGA BBVA,Villarreal CF,16,8,14,58,57,56,1
2009/2010,Spain LIGA BBVA,Xerez Club Deportivo,8,10,20,38,66,34,-28
2009/2010,Switzerland Super League,AC Bellinzona,7,4,25,42,92,25,-50
2009/2010,Switzerland Super League,BSC Young Boys,25,2,9,78,47,77,31
2009/2010,Switzerland Super League,FC Aarau,6,5,25,32,88,23,-56
2009/2010,Switzerland Super League,FC Basel,25,5,6,90,46,80,44
2009/2010,Switzerland Super League,FC Luzern,17,7,12,66,55,58,11
2009/2010,Switzerland Super League,FC Sion,14,9,13,63,57,51,6
2009/2010,Switzerland Super League,FC St. Gallen,13,7,16,53,56,46,-3
2009/2010,Switzerland Super League,FC Zürich,12,9,15,55,58,45,-3
2009/2010,Switzerland Super League,Grasshopper Club Zürich,21,2,13,65,43,65,22
2009/2010,Switzerland Super League,Neuchâtel Xamax,11,8,17,55,57,41,-2
2010/2011,Belgium Jupiler League,Beerschot AC,5,11,14,24,40,26,-16
2010/2011,Belgium Jupiler League,Club Brugge KV,16,5,9,60,35,53,25
2010/2011,Belgium Jupiler League,KAA Gent,17,6,7,59,42,57,17
2010/2011,Belgium Jupiler League,KAS Eupen,5,8,17,28,50,23,-22
2010/2011,Belgium Jupiler League,KRC Genk,19,7,4,64,27,64,37
2010/2011,Belgium Jupiler League,KSV Cercle Brugge,11,6,13,33,34,39,-1
2010/2011,Belgium Jupiler League,KV Kortrijk,11,5,14,36,39,38,-3
2010/2011,Belgium Jupiler League,KV Mechelen,13,9,8,34,30,48,4
2010/2011,Belgium Jupiler League,KVC Westerlo,11,8,11,41,40,41,1
2010/2011,Belgium Jupiler League,Lierse SK,4,12,14,26,58,24,-32
2010/2011,Belgium Jupiler League,RSC Anderlecht,19,8,3,58,20,65,38
2010/2011,Belgium Jupiler League,SV Zulte-Waregem,7,12,11,39,41,33,-2
2010/2011,Belgium Jupiler League,Sint-Truidense VV,8,5,17,20,51,29,-31
2010/2011,Belgium Jupiler League,Sporting Charleroi,4,7,19,20,54,19,-34
2010/2011,Belgium Jupiler League,Sporting Lokeren,13,11,6,43,36,50,7
2010/2011,Belgium Jupiler League,Standard de Liège,15,4,11,50,38,49,12
2010/2011,England Premier League,Arsenal,19,11,8,72,43,68,29
2010/2011,England Premier League,Aston Villa,12,12,14,48,59,48,-11
2010/2011,England Premier League,Birmingham City,8,15,15,37,58,39,-21
2010/2011,England Premier League,Blackburn Rovers,11,10,17,46,59,43,-13
2010/2011,England Premier League,Blackpool,10,9,19,55,78,39,-23
2010/2011,England Premier League,Bolton Wanderers,12,10,16,52,56,46,-4
2010/2011,England Premier League,Chelsea,21,8,9,69,33,71,36
2010/2011,England Premier League,Everton,13,15,10,51,45,54,6
2010/2011,England Premier League,Fulham,11,16,11,49,43,49,6
2010/2011,England Premier League,Liverpool,17,7,14,59,44,58,15
2010/2011,England Premier League,Manchester City,21,8,9,60,33,71,27
2010/2011,England Premier League,Manchester United,23,11,4,78,37,80,41
2010/2011,England Premier League,Newcastle United,11,13,14,56,57,46,-1
2010/2011,England Premier League,Stoke City,13,7,18,46,48,46,-2
2010/2011,England Premier League,Sunderland,12,11,15,45,56,47,-11
2010/2011,England Premier League,Tottenham Hotspur,16,14,8,55,46,62,9
2010/2011,England Premier League,West Bromwich Albion,12,11,15,56,71,47,-15
2010/2011,England Premier League,West Ham United,7,12,19,43,70,33,-27
2010/2011,England Premier League,Wigan Athletic,9,15,14,40,61,42,-21
2010/2011,England Premier League,Wolverhampton Wanderers,11,7,20,46,66,40,-20
2010/2011,France Ligue 1,AC Arles-Avignon,3,11,24,21,70,20,-49
2010/2011,France Ligue 1,AJ Auxerre,10,19,9,45,41,49,4
2010/2011,France Ligue 1,AS Monaco,9,17,12,36,40,44,-4
2010/2011,France Ligue 1,AS Nancy-Lorraine,13,9,16,43,48,48,-5
2010/2011,France Ligue 1,AS Saint-Étienne,12,13,13,46,47,49,-1
2010/2011,France Ligue 1,FC Lorient,12,13,13,46,48,49,-2
2010/2011,France Ligue 1,FC Sochaux-Montbéliard,17,7,14,60,43,58,17
2010/2011,France Ligue 1,Girondins de Bordeaux,12,15,11,43,42,51,1
2010/2011,France Ligue 1,LOSC Lille,21,13,4,68,36,76,32
2010/2011,France Ligue 1,Montpellier Hérault SC,12,11,15,32,43,47,-11
2010/2011,France Ligue 1,OGC Nice,11,13,14,33,48,46,-15
2010/2011,France Ligue 1,Olympique Lyonnais,17,13,8,61,40,64,21
2010/2011,France Ligue 1,Olympique de Marseille,18,14,6,62,39,68,23
2010/2011,France Ligue 1,Paris Saint-Germain,15,15,8,56,41,60,15
2010/2011,France Ligue 1,RC Lens,7,14,17,35,58,35,-23
2010/2011,France Ligue 1,SM Caen,11,13,14,46,51,46,-5
2010/2011,France Ligue 1,Stade Brestois 29,11,13,14,36,43,46,-7
2010/2011,France Ligue 1,Stade Rennais FC,15,11,12,38,35,56,3
2010/2011,France Ligue 1,Toulouse FC,14,8,16,38,36,50,2
2010/2011,France Ligue 1,Valenciennes FC,10,18,10,45,41,48,4
2010/2011,Germany 1. Bundesliga,1. FC Kaiserslautern,13,7,14,48,51,46,-3
2010/2011,Germany 1. Bundesliga,1. FC Köln,13,5,16,47,62,44,-15
2010/2011,Germany 1. Bundesliga,1. FC Nürnberg,13,8,13,47,45,47,2
2010/2011,Germany 1. Bundesliga,1. FSV Mainz 05,18,4,12,52,39,58,13
2010/2011,Germany 1. Bundesliga,Bayer 04 Leverkusen,20,8,6,64,44,68,20
2010/2011,Germany 1. Bundesliga,Borussia Dortmund,23,6,5,67,22,75,45
2010/2011,Germany 1. Bundesliga,Borussia Mönchengladbach,10,6,18,48,65,36,-17
2010/2011,Germany 1. Bundesliga,Eintracht Frankfurt,9,7,18,31,49,34,-18
2010/2011,Germany 1. Bundesliga,FC Bayern Munich,19,8,7,81,40,65,41
2010/2011,Germany 1. Bundesliga,FC Schalke 04,11,7,16,38,44,40,-6
2010/2011,Germany 1. Bundesliga,FC St. Pauli,8,5,21,35,68,29,-33
2010/2011,Germany 1. Bundesliga,Hamburger SV,12,9,13,46,52,45,-6
2010/2011,Germany 1. Bundesliga,Hannover 96,19,3,12,49,45,60,4
2010/2011,Germany 1. Bundesliga,SC Freiburg,13,5,16,41,50,44,-9
2010/2011,Germany 1. Bundesliga,SV Werder Bremen,10,11,13,47,61,41,-14
2010/2011,Germany 1. Bundesliga,TSG 1899 Hoffenheim,11,10,13,50,50,43,0
2010/2011,Germany 1. Bundesliga,VfB Stuttgart,12,6,16,60,59,42,1
2010/2011,Germany 1. Bundesliga,VfL Wolfsburg,9,11,14,43,48,38,-5
2010/2011,Italy Serie A,Bari,5,9,24,27,56,24,-29
2010/2011,Italy Serie A,Bologna,11,12,15,35,52,45,-17
2010/2011,Italy Serie A,Brescia,7,11,20,34,52,32,-18
2010/2011,Italy Serie A,Cagliari,12,9,17,44,51,45,-7
2010/2011,Italy Serie A,Catania,12,10,16,40,52,46,-12
2010/2011,Italy Serie A,Cesena,11,10,17,38,50,43,-12
2010/2011,Italy Serie A,Chievo Verona,11,13,14,38,40,46,-2
2010/2011,Italy Serie A,Fiorentina,12,15,11,49,44,51,5
2010/2011,Italy Serie A,Genoa,14,9,15,45,47,51,-2
2010/2011,Italy Serie A,Inter,23,7,8,69,42,76,27
2010/2011,Italy Serie A,Juventus,15,13,10,57,47,58,10
2010/2011,Italy Serie A,Lazio,20,6,12,55,39,66,16
2010/2011,Italy Serie A,Lecce,11,8,19,46,66,41,-20
2010/2011,Italy Serie A,Milan,24,10,4,65,24,82,41
2010/2011,Italy Serie A,Napoli,21,7,10,59,39,70,20
2010/2011,Italy Serie A,Palermo,17,5,16,58,63,56,-5
2010/2011,Italy Serie A,Parma,11,13,14,39,47,46,-8
2010/2011,Italy Serie A,Roma,18,9,11,59,52,63,7
2010/2011,Italy Serie A,Sampdoria,8,12,18,33,49,36,-16
2010/2011,Italy Serie A,Udinese,20,6,12,65,43,66,22
2010/2011,Netherlands Eredivisie,ADO Den Haag,16,6,12,63,55,54,8
2010/2011,Netherlands Eredivisie,AZ,17,8,9,55,44,59,11
2010/2011,Netherlands Eredivisie,Ajax,22,7,5,72,30,73,42
2010/2011,Netherlands Eredivisie,De Graafschap,9,11,14,31,56,38,-25
2010/2011,Netherlands Eredivisie,Excelsior,10,5,19,45,66,35,-21
2010/2011,Netherlands Eredivisie,FC Groningen,17,6,11,65,52,57,13
2010/2011,Netherlands Eredivisie,FC Twente,21,8,5,65,34,71,31
2010/2011,Netherlands Eredivisie,FC Utrecht,13,8,13,55,51,47,4
2010/2011,Netherlands Eredivisie,Feyenoord,12,8,14,53,54,44,-1
2010/2011,Netherlands Eredivisie,Heracles Almelo,14,7,13,65,56,49,9
2010/2011,Netherlands Eredivisie,N.E.C.,10,13,11,57,56,43,1
2010/2011,Netherlands Eredivisie,NAC Breda,12,5,17,44,60,41,-16
2010/2011,Netherlands Eredivisie,PSV,20,9,5,79,34,69,45
2010/2011,Netherlands Eredivisie,Roda JC Kerkrade,14,13,7,65,50,55,15
2010/2011,Netherlands Eredivisie,SC Heerenveen,10,11,13,60,54,41,6
2010/2011,Netherlands Eredivisie,VVV-Venlo,6,3,25,34,76,21,-42
2010/2011,Netherlands Eredivisie,Vitesse,9,8,17,42,61,35,-19
2010/2011,Netherlands Eredivisie,Willem II,3,6,25,37,98,15,-61
2010/2011,Poland Ekstraklasa,Arka Gdynia,6,10,14,22,43,28,-21
2010/2011,Poland Ekstraklasa,Cracovia,8,5,17,37,47,29,-10
2010/2011,Poland Ekstraklasa,GKS Bełchatów,10,10,10,31,33,40,-2
2010/2011,Poland Ekstraklasa,Jagiellonia Białystok,14,6,10,38,32,48,6
2010/2011,Poland Ekstraklasa,Korona Kielce,10,7,13,34,48,37,-14
2010/2011,Poland Ekstraklasa,Lech Poznań,13,6,11,37,23,45,14
2010/2011,Poland Ekstraklasa,Lechia Gdańsk,12,7,11,37,36,43,1
2010/2011,Poland Ekstraklasa,Legia Warszawa,15,4,11,45,38,49,7
2010/2011,Poland Ekstraklasa,P. Warszawa,12,8,10,41,26,44,15
2010/2011,Poland Ekstraklasa,Polonia Bytom,19,15,26,65,85,72,-20
2010/2011,Poland Ekstraklasa,Ruch Chorzów,10,8,12,29,32,38,-3
2010/2011,Poland Ekstraklasa,Widzew Łódź,11,10,9,41,34,43,7
2010/2011,Poland Ekstraklasa,Wisła Kraków,17,5,8,44,29,56,15
2010/2011,Poland Ekstraklasa,Zagłębie Lubin,10,9,11,31,38,39,-7
2010/2011,Poland Ekstraklasa,Śląsk Wrocław,13,10,7,46,34,49,12
2010/2011,Portugal Liga ZON Sagres,Académica de Coimbra,7,9,14,32,48,30,-16
2010/2011,Portugal Liga ZON Sagres,CD Nacional,11,9,10,28,31,42,-3
2010/2011,Portugal Liga ZON Sagres,CS Marítimo,9,8,13,33,32,35,1
2010/2011,Portugal Liga ZON Sagres,FC Paços de Ferreira,10,11,9,35,42,41,-7
2010/2011,Portugal Liga ZON Sagres,FC Porto,27,3,0,73,16,84,57
2010/2011,Portugal Liga ZON Sagres,Naval 1° de Maio,5,8,17,26,51,23,-25
2010/2011,Portugal Liga ZON Sagres,Portimonense,6,7,17,29,49,25,-20
2010/2011,Portugal Liga ZON Sagres,Rio Ave FC,10,8,12,35,33,38,2
2010/2011,Portugal Liga ZON Sagres,S.C. Olhanense,7,13,10,24,34,34,-10
2010/2011,Portugal Liga ZON Sagres,SC Beira Mar,7,12,11,32,36,33,-4
2010/2011,Portugal Liga ZON Sagres,SC Braga,13,7,10,45,33,46,12
2010/2011,Portugal Liga ZON Sagres,SL Benfica,20,3,7,61,31,63,30
2010/2011,Portugal Liga ZON Sagres,Sporting CP,13,9,8,41,31,48,10
2010/2011,Portugal Liga ZON Sagres,"União de Leiria, SAD",9,8,13,25,38,35,-13
2010/2011,Portugal Liga ZON Sagres,Vitória Guimarães,12,7,11,36,37,43,-1
2010/2011,Portugal Liga ZON Sagres,Vitória Setúbal,8,10,12,29,42,34,-13
2010/2011,Scotland Premier League,Aberdeen,11,5,22,39,59,38,-20
2010/2011,Scotland Premier League,Celtic,29,5,4,85,22,92,63
2010/2011,Scotland Premier League,Dundee United,17,10,11,55,50,61,5
2010/2011,Scotland Premier League,Hamilton Academical FC,5,11,22,24,59,26,-35
2010/2011,Scotland Premier League,Heart of Midlothian,18,9,11,53,45,63,8
2010/2011,Scotland Premier League,Hibernian,10,7,21,39,61,37,-22
2010/2011,Scotland Premier League,Inverness Caledonian Thistle,14,11,13,52,44,53,8
2010/2011,Scotland Premier League,Kilmarnock,13,10,15,53,55,49,-2
2010/2011,Scotland Premier League,Motherwell,13,7,18,40,60,46,-20
2010/2011,Scotland Premier League,Rangers,30,3,5,88,29,93,59
2010/2011,Scotland Premier League,St. Johnstone FC,11,11,16,23,43,44,-20
2010/2011,Scotland Premier League,St. Mirren,8,9,21,33,57,33,-24
2010/2011,Spain LIGA BBVA,Athletic Club de Bilbao,18,4,16,59,55,58,4
2010/2011,Spain LIGA BBVA,Atlético Madrid,17,7,14,62,53,58,9
2010/2011,Spain LIGA BBVA,CA Osasuna,13,8,17,45,46,47,-1
2010/2011,Spain LIGA BBVA,FC Barcelona,30,6,2,95,21,96,74
2010/2011,Spain LIGA BBVA,Getafe CF,12,8,18,49,60,44,-11
2010/2011,Spain LIGA BBVA,Hércules Club de Fútbol,9,8,21,36,60,35,-24
2010/2011,Spain LIGA BBVA,Levante UD,12,9,17,41,52,45,-11
2010/2011,Spain LIGA BBVA,Málaga CF,13,7,18,54,68,46,-14
2010/2011,Spain LIGA BBVA,RC Deportivo de La Coruña,10,13,15,31,47,43,-16
2010/2011,Spain LIGA BBVA,RCD Espanyol,15,4,19,46,55,49,-9
2010/2011,Spain LIGA BBVA,RCD Mallorca,12,8,18,41,56,44,-15
2010/2011,Spain LIGA BBVA,Racing Santander,12,10,16,41,56,46,-15
2010/2011,Spain LIGA BBVA,Real Madrid CF,29,5,4,102,33,92,69
2010/2011,Spain LIGA BBVA,Real Sociedad,14,3,21,49,66,45,-17
2010/2011,Spain LIGA BBVA,Real Sporting de Gijón,11,14,13,35,42,47,-7
2010/2011,Spain LIGA BBVA,Real Zaragoza,12,9,17,40,53,45,-13
2010/2011,Spain LIGA BBVA,Sevilla FC,17,7,14,62,61,58,1
2010/2011,Spain LIGA BBVA,UD Almería,6,12,20,36,70,30,-34
2010/2011,Spain LIGA BBVA,Valencia CF,21,8,9,64,44,71,20
2010/2011,Spain LIGA BBVA,Villarreal CF,18,8,12,54,44,62,10
2010/2011,Switzerland Super League,AC Bellinzona,7,11,18,42,75,32,-33
2010/2011,Switzerland Super League,BSC Young Boys,15,12,9,65,50,57,15
2010/2011,Switzerland Super League,FC Basel,21,10,5,76,44,73,32
2010/2011,Switzerland Super League,FC Luzern,13,9,14,62,57,48,5
2010/2011,Switzerland Super League,FC Sion,15,9,12,47,36,54,11
2010/2011,Switzerland Super League,FC St. Gallen,8,7,21,34,67,31,-33
2010/2011,Switzerland Super League,FC Thun,11,16,9,48,43,49,5
2010/2011,Switzerland Super League,FC Zürich,21,9,6,74,44,72,30
2010/2011,Switzerland Super League,Grasshopper Club Zürich,10,11,15,45,54,41,-9
2010/2011,Switzerland Super League,Neuchâtel Xamax,8,8,20,44,67,32,-23
2011/2012,Belgium Jupiler League,Beerschot AC,9,9,12,45,51,36,-6
2011/2012,Belgium Jupiler League,Club Brugge KV,19,4,7,51,32,61,19
2011/2012,Belgium Jupiler League,KAA Gent,17,5,8,63,35,56,28
2011/2012,Belgium Jupiler League,KRC Genk,13,7,10,60,44,46,16
2011/2012,Belgium Jupiler League,KSV Cercle Brugge,13,7,10,36,37,46,-1
2011/2012,Belgium Jupiler League,KV Kortrijk,13,7,10,39,36,46,3
2011/2012,Belgium Jupiler League,KV Mechelen,10,7,13,40,50,37,-10
2011/2012,Belgium Jupiler League,KVC Westerlo,5,5,20,29,59,20,-30
2011/2012,Belgium Jupiler League,Lierse SK,6,13,11,24,36,31,-12
2011/2012,Belgium Jupiler League,Oud-Heverlee Leuven,7,8,15,38,58,29,-20
2011/2012,Belgium Jupiler League,RAEC Mons,9,9,12,50,55,36,-5
2011/2012,Belgium Jupiler League,RSC Anderlecht,20,7,3,61,26,67,35
2011/2012,Belgium Jupiler League,SV Zulte-Waregem,6,12,12,32,38,30,-6
2011/2012,Belgium Jupiler League,Sint-Truidense VV,3,10,17,32,61,19,-29
2011/2012,Belgium Jupiler League,Sporting Lokeren,11,11,8,48,40,44,8
2011/2012,Belgium Jupiler League,Standard de Liège,14,9,7,43,33,51,10
2011/2012,England Premier League,Arsenal,21,7,10,74,49,70,25
2011/2012,England Premier League,Aston Villa,7,17,14,37,53,38,-16
2011/2012,England Premier League,Blackburn Rovers,8,7,23,48,78,31,-30
2011/2012,England Premier League,Bolton Wanderers,10,6,22,46,77,36,-31
2011/2012,England Premier League,Chelsea,18,10,10,65,46,64,19
2011/2012,England Premier League,Everton,15,11,12,50,40,56,10
2011/2012,England Premier League,Fulham,14,10,14,48,51,52,-3
2011/2012,England Premier League,Liverpool,14,10,14,47,40,52,7
2011/2012,England Premier League,Manchester City,28,5,5,93,29,89,64
2011/2012,England Premier League,Manchester United,28,5,5,89,33,89,56
2011/2012,England Premier League,Newcastle United,19,8,11,56,51,65,5
2011/2012,England Premier League,Norwich City,12,11,15,52,66,47,-14
2011/2012,England Premier League,Queens Park Rangers,10,7,21,43,66,37,-23
2011/2012,England Premier League,Stoke City,11,12,15,36,53,45,-17
2011/2012,England Premier League,Sunderland,11,12,15,45,46,45,-1
2011/2012,England Premier League,Swansea City,12,11,15,44,51,47,-7
2011/2012,England Premier League,Tottenham Hotspur,20,9,9,66,41,69,25
2011/2012,England Premier League,West Bromwich Albion,13,8,17,45,52,47,-7
2011/2012,England Premier League,Wigan Athletic,11,10,17,42,62,43,-20
2011/2012,England Premier League,Wolverhampton Wanderers,5,10,23,40,82,25,-42
2011/2012,France Ligue 1,AC Ajaccio,9,14,15,40,61,41,-21
2011/2012,France Ligue 1,AJ Auxerre,7,13,18,46,57,34,-11
2011/2012,France Ligue 1,AS Nancy-Lorraine,11,12,15,38,48,45,-10
2011/2012,France Ligue 1,AS Saint-Étienne,16,9,13,49,45,57,4
2011/2012,France Ligue 1,Dijon FCO,9,9,20,38,63,36,-25
2011/2012,France Ligue 1,FC Lorient,9,12,17,35,49,39,-14
2011/2012,France Ligue 1,FC Sochaux-Montbéliard,11,9,18,40,60,42,-20
2011/2012,France Ligue 1,Girondins de Bordeaux,16,13,9,53,41,61,12
2011/2012,France Ligue 1,LOSC Lille,21,11,6,72,39,74,33
2011/2012,France Ligue 1,Montpellier Hérault SC,25,7,6,68,34,82,34
2011/2012,France Ligue 1,OGC Nice,10,12,16,39,46,42,-7
2011/2012,France Ligue 1,Olympique Lyonnais,19,7,12,64,51,64,13
2011/2012,France Ligue 1,Olympique de Marseille,12,12,14,45,41,48,4
2011/2012,France Ligue 1,Paris Saint-Germain,23,10,5,75,41,79,34
2011/2012,France Ligue 1,SM Caen,9,11,18,39,59,38,-20
2011/2012,France Ligue 1,Stade Brestois 29,8,17,13,31,38,41,-7
2011/2012,France Ligue 1,Stade Rennais FC,17,9,12,53,44,60,9
2011/2012,France Ligue 1,Toulouse FC,15,11,12,37,34,56,3
2011/2012,France Ligue 1,Valenciennes FC,12,7,19,40,50,43,-10
2011/2012,France Ligue 1,Évian Thonon Gaillard FC,13,11,14,54,55,50,-1
2011/2012,Germany 1. Bundesliga,1. FC Kaiserslautern,4,11,19,24,54,23,-30
2011/2012,Germany 1. Bundesliga,1. FC Köln,8,6,20,39,75,30,-36
2011/2012,Germany 1. Bundesliga,1. FC Nürnberg,12,6,16,38,49,42,-11
2011/2012,Germany 1. Bundesliga,1. FSV Mainz 05,9,12,13,47,51,39,-4
2011/2012,Germany 1. Bundesliga,Bayer 04 Leverkusen,15,9,10,52,44,54,8
2011/2012,Germany 1. Bundesliga,Borussia Dortmund,25,6,3,80,25,81,55
2011/2012,Germany 1. Bundesliga,Borussia Mönchengladbach,17,9,8,49,24,60,25
2011/2012,Germany 1. Bundesliga,FC Augsburg,8,14,12,36,49,38,-13
2011/2012,Germany 1. Bundesliga,FC Bayern Munich,23,4,7,77,22,73,55
2011/2012,Germany 1. Bundesliga,FC Schalke 04,20,4,10,74,44,64,30
2011/2012,Germany 1. Bundesliga,Hamburger SV,8,12,14,35,57,36,-22
2011/2012,Germany 1. Bundesliga,Hannover 96,12,12,10,41,45,48,-4
2011/2012,Germany 1. Bundesliga,Hertha BSC Berlin,7,10,17,38,64,31,-26
2011/2012,Germany 1. Bundesliga,SC Freiburg,10,10,14,45,61,40,-16
2011/2012,Germany 1. Bundesliga,SV Werder Bremen,11,9,14,49,58,42,-9
2011/2012,Germany 1. Bundesliga,TSG 1899 Hoffenheim,10,11,13,41,47,41,-6
2011/2012,Germany 1. Bundesliga,VfB Stuttgart,15,8,11,63,46,53,17
2011/2012,Germany 1. Bundesliga,VfL Wolfsburg,13,5,16,47,60,44,-13
2011/2012,Italy Serie A,Atalanta,13,11,11,40,40,50,0
2011/2012,Italy Serie A,Bologna,11,11,13,36,41,44,-5
2011/2012,Italy Serie A,Cagliari,9,13,14,35,43,40,-8
2011/2012,Italy Serie A,Catania,10,12,12,42,48,42,-6
2011/2012,Italy Serie A,Cesena,4,8,22,24,56,20,-32
2011/2012,Italy Serie A,Chievo Verona,11,13,13,33,44,46,-11
2011/2012,Italy Serie A,Fiorentina,10,12,12,32,38,42,-6
2011/2012,Italy Serie A,Genoa,11,7,18,48,67,40,-19
2011/2012,Italy Serie A,Inter,17,6,14,56,53,57,3
2011/2012,Italy Serie A,Juventus,22,13,0,64,19,79,45
2011/2012,Italy Serie A,Lazio,17,8,11,53,43,59,10
2011/2012,Italy Serie A,Lecce,8,10,17,38,52,34,-14
2011/2012,Italy Serie A,Milan,23,8,6,72,33,77,39
2011/2012,Italy Serie A,Napoli,16,12,8,64,41,60,23
2011/2012,Italy Serie A,Novara,6,11,19,34,64,29,-30
2011/2012,Italy Serie A,Palermo,11,10,17,52,62,43,-10
2011/2012,Italy Serie A,Parma,15,9,12,51,50,54,1
2011/2012,Italy Serie A,Roma,16,8,13,59,52,56,7
2011/2012,Italy Serie A,Siena,9,11,16,40,45,38,-5
2011/2012,Italy Serie A,Udinese,18,9,9,52,34,63,18
2011/2012,Netherlands Eredivisie,ADO Den Haag,8,8,18,38,67,32,-29
2011/2012,Netherlands Eredivisie,AZ,19,8,7,64,35,65,29
2011/2012,Netherlands Eredivisie,Ajax,23,7,4,93,36,76,57
2011/2012,Netherlands Eredivisie,De Graafschap,6,6,22,36,74,24,-38
2011/2012,Netherlands Eredivisie,Excelsior,4,7,23,28,76,19,-48
2011/2012,Netherlands Eredivisie,FC Groningen,10,7,17,41,61,37,-20
2011/2012,Netherlands Eredivisie,FC Twente,17,9,8,82,46,60,36
2011/2012,Netherlands Eredivisie,FC Utrecht,11,10,13,55,58,43,-3
2011/2012,Netherlands Eredivisie,Feyenoord,21,7,6,70,37,70,33
2011/2012,Netherlands Eredivisie,Heracles Almelo,11,7,16,52,62,40,-10
2011/2012,Netherlands Eredivisie,N.E.C.,13,6,15,42,45,45,-3
2011/2012,Netherlands Eredivisie,NAC Breda,10,8,16,45,54,38,-9
2011/2012,Netherlands Eredivisie,PSV,21,6,7,87,47,69,40
2011/2012,Netherlands Eredivisie,RKC Waalwijk,13,6,15,40,49,45,-9
2011/2012,Netherlands Eredivisie,Roda JC Kerkrade,14,2,18,55,70,44,-15
2011/2012,Netherlands Eredivisie,SC Heerenveen,18,10,6,79,59,64,20
2011/2012,Netherlands Eredivisie,VVV-Venlo,9,4,21,42,78,31,-36
2011/2012,Netherlands Eredivisie,Vitesse,15,8,11,48,43,53,5
2011/2012,Poland Ekstraklasa,Cracovia,4,10,16,20,41,22,-21
2011/2012,Poland Ekstraklasa,GKS Bełchatów,7,10,13,34,36,31,-2
2011/2012,Poland Ekstraklasa,Jagiellonia Białystok,11,6,13,35,45,39,-10
2011/2012,Poland Ekstraklasa,Korona Kielce,13,9,8,34,29,48,5
2011/2012,Poland Ekstraklasa,Lech Poznań,15,7,8,42,22,52,20
2011/2012,Poland Ekstraklasa,Lechia Gdańsk,7,10,13,21,30,31,-9
2011/2012,Poland Ekstraklasa,Legia Warszawa,15,8,7,42,17,53,25
2011/2012,Poland Ekstraklasa,P. Warszawa,13,6,11,33,32,45,1
2011/2012,Poland Ekstraklasa,Podbeskidzie Bielsko-Biała,9,8,13,26,39,35,-13
2011/2012,Poland Ekstraklasa,Polonia Bytom,11,9,10,36,30,42,6
2011/2012,Poland Ekstraklasa,Ruch Chorzów,16,7,7,44,28,55,16
2011/2012,Poland Ekstraklasa,Widzew Łódź,14,21,25,48,79,63,-31
2011/2012,Poland Ekstraklasa,Wisła Kraków,12,7,11,29,26,43,3
2011/2012,Poland Ekstraklasa,Zagłębie Lubin,11,7,12,36,42,40,-6
2011/2012,Poland Ekstraklasa,Śląsk Wrocław,17,5,8,47,31,56,16
2011/2012,Portugal Liga ZON Sagres,Académica de Coimbra,7,8,15,27,38,29,-11
2011/2012,Portugal Liga ZON Sagres,CD Nacional,13,5,12,48,50,44,-2
2011/2012,Portugal Liga ZON Sagres,CS Marítimo,14,8,8,41,38,50,3
2011/2012,Portugal Liga ZON Sagres,FC Paços de Ferreira,8,7,15,35,53,31,-18
2011/2012,Portugal Liga ZON Sagres,FC Porto,23,6,1,69,19,75,50
2011/2012,Portugal Liga ZON Sagres,Feirense,5,9,16,27,49,24,-22
2011/2012,Portugal Liga ZON Sagres,Gil Vicente FC,8,10,12,31,42,34,-11
2011/2012,Portugal Liga ZON Sagres,Rio Ave FC,7,7,16,33,42,28,-9
2011/2012,Portugal Liga ZON Sagres,S.C. Olhanense,9,12,9,36,38,39,-2
2011/2012,Portugal Liga ZON Sagres,SC Beira Mar,8,5,17,26,38,29,-12
2011/2012,Portugal Liga ZON Sagres,SC Braga,19,5,6,59,29,62,30
2011/2012,Portugal Liga ZON Sagres,SL Benfica,21,6,3,66,27,69,39
2011/2012,Portugal Liga ZON Sagres,Sporting CP,18,5,7,47,26,59,21
2011/2012,Portugal Liga ZON Sagres,"União de Leiria, SAD",5,4,21,25,56,19,-31
2011/2012,Portugal Liga ZON Sagres,Vitória Guimarães,14,3,13,40,40,45,0
2011/2012,Portugal Liga ZON Sagres,Vitória Setúbal,8,6,16,24,49,30,-25
2011/2012,Scotland Premier League,Aberdeen,9,14,15,36,44,41,-8
2011/2012,Scotland Premier League,Celtic,30,3,5,84,21,93,63
2011/2012,Scotland Premier League,Dundee United,16,11,11,62,50,59,12
2011/2012,Scotland Premier League,Dunfermline Athletic,5,10,23,40,82,25,-42
2011/2012,Scotland Premier League,Heart of Midlothian,15,7,16,45,43,52,2
2011/2012,Scotland Premier League,Hibernian,8,9,21,40,67,33,-27
2011/2012,Scotland Premier League,Inverness Caledonian Thistle,10,9,19,42,60,39,-18
2011/2012,Scotland Premier League,Kilmarnock,11,14,13,44,61,47,-17
2011/2012,Scotland Premier League,Motherwell,18,8,12,49,44,62,5
